"Model","Category","Item","PartNumber","ApplicationId","Scope","RuleIndex","RawRule","SourceFile"
"M3187","C8450","I1","GJA9460BHLFN","139748","APPLICATION","1","[A155,2924,0,0][A23,154,0,0]","Itm_M3187_C8450_I1_attributes.xml"
"M3187","C8450","I1","GJB9460BBLFN","158188","CATEGORY","1","[A37,615,0,0,1]","pl_id_3187_attributes.xml"
"M3187","C8450","I1","GJB9460BBLFN","158188","TOP","1","[A155,2932,0,0][A23,154,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJB9460BBLFN","158188","TOP","2","[A155,2932,0,0][A23,157,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJB9460BBLFN","158188","TOP","3","[A155,2924,0,0][A23,154,0,0][C,  018108,0,0][C,  024686,1,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJB9460BBLFN","158188","TOP","4","[A155,2924,0,0][A23,154,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJB9460BBLFN","158188","TOP","5","[A155,2924,0,0][A23,157,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJB9460BBLFN","158188","TOP","6","[A23,154,0,0][A155,2901,0,0][C,  018108,0,0][C,  024686,1,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJB9460BBLFN","158188","TOP","7","[A23,154,0,0][A155,2901,0,0][C,  028939,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJB9460BBLFN","158188","TOP","8","[A23,154,0,0][A155,2901,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJB9460BBLFN","158188","TOP","9","[A23,157,0,0][A155,2901,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJB9460BBLFN","158188","TOP","10","[A23,154,0,0][A155,2908,0,0][C,  018108,0,0][C,  024686,1,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJB9460BBLFN","158188","TOP","11","[A23,154,0,0][A155,2908,0,0][C,  024687,0,0][C,  028938,1,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJB9460BBLFN","158188","TOP","12","[A23,154,0,0][A155,2908,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJB9460BBLFN","158188","TOP","13","[A23,157,0,0][A155,2908,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJB9460BBLFN","158188","APPLICATION","1","[A155,2924,0,0][A23,154,0,0]","Itm_M3187_C8450_I1_attributes.xml"
"M3187","C8450","I1","GJB9460AALFN","156395","CATEGORY","1","[A37,615,0,0,1]","pl_id_3187_attributes.xml"
"M3187","C8450","I1","GJB9460AALFN","156395","TOP","1","[A155,2932,0,0][A23,154,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJB9460AALFN","156395","TOP","2","[A155,2932,0,0][A23,157,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJB9460AALFN","156395","TOP","3","[A155,2924,0,0][A23,154,0,0][C,  018108,0,0][C,  024686,1,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJB9460AALFN","156395","TOP","4","[A155,2924,0,0][A23,154,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJB9460AALFN","156395","TOP","5","[A155,2924,0,0][A23,157,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJB9460AALFN","156395","TOP","6","[A23,154,0,0][A155,2901,0,0][C,  018108,0,0][C,  024686,1,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJB9460AALFN","156395","TOP","7","[A23,154,0,0][A155,2901,0,0][C,  028939,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJB9460AALFN","156395","TOP","8","[A23,154,0,0][A155,2901,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJB9460AALFN","156395","TOP","9","[A23,157,0,0][A155,2901,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJB9460AALFN","156395","TOP","10","[A23,154,0,0][A155,2908,0,0][C,  018108,0,0][C,  024686,1,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJB9460AALFN","156395","TOP","11","[A23,154,0,0][A155,2908,0,0][C,  024687,0,0][C,  028938,1,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJB9460AALFN","156395","TOP","12","[A23,154,0,0][A155,2908,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJB9460AALFN","156395","TOP","13","[A23,157,0,0][A155,2908,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJB9460AALFN","156395","APPLICATION","1","[A155,2924,0,0][A23,157,0,0]","Itm_M3187_C8450_I1_attributes.xml"
"M3187","C8450","I1","GJA9460ALLFN","150090","CATEGORY","1","[A37,615,0,0,1]","pl_id_3187_attributes.xml"
"M3187","C8450","I1","GJA9460ALLFN","150090","TOP","1","[A155,2932,0,0][A23,154,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460ALLFN","150090","TOP","2","[A155,2932,0,0][A23,157,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460ALLFN","150090","TOP","3","[A155,2924,0,0][A23,154,0,0][C,  018108,0,0][C,  024686,1,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460ALLFN","150090","TOP","4","[A155,2924,0,0][A23,154,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460ALLFN","150090","TOP","5","[A155,2924,0,0][A23,157,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460ALLFN","150090","TOP","6","[A23,154,0,0][A155,2901,0,0][C,  018108,0,0][C,  024686,1,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460ALLFN","150090","TOP","7","[A23,154,0,0][A155,2901,0,0][C,  028939,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460ALLFN","150090","TOP","8","[A23,154,0,0][A155,2901,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460ALLFN","150090","TOP","9","[A23,157,0,0][A155,2901,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460ALLFN","150090","TOP","10","[A23,154,0,0][A155,2908,0,0][C,  018108,0,0][C,  024686,1,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460ALLFN","150090","TOP","11","[A23,154,0,0][A155,2908,0,0][C,  024687,0,0][C,  028938,1,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460ALLFN","150090","TOP","12","[A23,154,0,0][A155,2908,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460ALLFN","150090","TOP","13","[A23,157,0,0][A155,2908,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460ALLFN","150090","APPLICATION","1","[A155,2924,0,0][A23,157,0,0]","Itm_M3187_C8450_I1_attributes.xml"
"M3187","C8450","I1","GJA9460AJLFN","142153","CATEGORY","1","[A37,615,0,0,1]","pl_id_3187_attributes.xml"
"M3187","C8450","I1","GJA9460AJLFN","142153","TOP","1","[A155,2932,0,0][A23,154,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460AJLFN","142153","TOP","2","[A155,2932,0,0][A23,157,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460AJLFN","142153","TOP","3","[A155,2924,0,0][A23,154,0,0][C,  018108,0,0][C,  024686,1,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460AJLFN","142153","TOP","4","[A155,2924,0,0][A23,154,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460AJLFN","142153","TOP","5","[A155,2924,0,0][A23,157,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460AJLFN","142153","TOP","6","[A23,154,0,0][A155,2901,0,0][C,  018108,0,0][C,  024686,1,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460AJLFN","142153","TOP","7","[A23,154,0,0][A155,2901,0,0][C,  028939,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460AJLFN","142153","TOP","8","[A23,154,0,0][A155,2901,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460AJLFN","142153","TOP","9","[A23,157,0,0][A155,2901,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460AJLFN","142153","TOP","10","[A23,154,0,0][A155,2908,0,0][C,  018108,0,0][C,  024686,1,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460AJLFN","142153","TOP","11","[A23,154,0,0][A155,2908,0,0][C,  024687,0,0][C,  028938,1,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460AJLFN","142153","TOP","12","[A23,154,0,0][A155,2908,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460AJLFN","142153","TOP","13","[A23,157,0,0][A155,2908,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460AJLFN","142153","APPLICATION","1","[A155,2924,0,0][A23,157,0,0]","Itm_M3187_C8450_I1_attributes.xml"
"M3187","C8450","I1","GJB9460ABLFN","158178","CATEGORY","1","[A37,615,0,0,1]","pl_id_3187_attributes.xml"
"M3187","C8450","I1","GJB9460ABLFN","158178","TOP","1","[A155,2932,0,0][A23,154,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJB9460ABLFN","158178","TOP","2","[A155,2932,0,0][A23,157,0,0]","tl_M3187_C8450_attributes.xml"
